year,award,title,author
2000,Shortlist,The Dancers Dancing,Eilis Ni Dhuibhne
2000,Shortlist,Amy And Isabelle,Elizabeth Strout
2000,Shortlist,If I Told You Once,Judy Budnitz
2000,Winner,When I Lived In Modern Times,Linda Grant
2000,Longlist,Moonlight On The Avenue Of Faith,Gina B Nahai
2000,Longlist,A Dangerous Vine,Barbara Ewing
2000,Longlist,What The Body Remembers,Shauna Singh Baldwin
2000,Longlist,Island,Jane Rogers
2000,Longlist,Last Chance Texaco,Christine Pountney
2000,Longlist,Charming Billy,Alice McDermott
2000,Longlist,The Hunter,Julia Leigh
2000,Longlist,Everything You Need,
2000,Longlist,Born Free,Laura Hird
2000,Longlist,A Sin Of Colour,Sunetra Gupta
2000,Longlist,Danny Boy,Jo-Ann Goodwin
2000,Longlist,"Fasting, Feasting",Anita Desai
2000,Longlist,Girl With A Pearl Earring,Tracy Chevalier
2000,Longlist,The Translator,Leila Aboulela
1999,Shortlist,The Leper’s Companions,Julia Blackburn
1999,Shortlist,Visible Worlds,Marilyn Bowering
1999,Shortlist,Paradise,Toni Morrison
1999,Longlist,The Poisonwood Bible,
1999,Shortlist,The Short History Of A Prince,Jane Hamilton
1999,Winner,A Crime In The Neighborhood,Suzanne Berne
1999,Longlist,Evening News,Marly Swick
1999,Longlist,Comfort Woman,Nora Ojka Keller
1999,Longlist,A History Of Silence,Barbara Neil
1999,Longlist,The Most Wanted,Jacquelyn Mitchard
1999,Longlist,"The Giant, O’brien",Hilary Mantel
1999,Longlist,Marchlands,Karla Kuban
1999,Longlist,The Vintner’s Luck,Elizabeth Knox
1999,Longlist,The Poisonwood Bible,Barbara Kingsolver
1999,Longlist,Buxton Spice,Oonya Kempadoo
1999,Longlist,Trumpet,Jackie Kay
1999,Longlist,Restitution,Maureen Duffy
1999,Longlist,Crocodile Soup,Julia Darling
1999,Longlist,In A Fishbone Church,Catherine Chidgey
1999,Longlist,The Voyage Of The Narwhal,Andrea Barrett
1999,Longlist,Master Georgie,Beryl Bainbridge
1998,Shortlist,The Ventriloquist’s Tale,Pauline Melville
1998,Shortlist,Lives Of The Monster Dogs,Kirsten Bakis
1998,Shortlist,The Weight Of Water,Anita Shreve
1998,Shortlist,Love Like Hate Adore,D M Purcell
1998,Shortlist,The Magician’s Assistant,
1998,Winner,Larry’s Party,Carol Shields
1998,Longlist,Baby Love,Louisa Young
1998,Longlist,The Underpainter,Jane Urquhart
1998,Longlist,Impossible Saints,Michele Roberts
1998,Longlist,Black And Blue,Anna Quindlen
1998,Longlist,The Orchard,Drusilla Modjeska
1998,Longlist,Undiscovered Country,Christina Koning
1998,Longlist,Ark Baby,Liz Jensen
1998,Longlist,Round Rock,Michelle Huneven
1998,Longlist,The Breaking,Kathryn Heyman
1998,Longlist,The House Gun,Nadine Gordimer
1998,Longlist,The Aguero Sisters,Cristina Garcia
1998,Longlist,Summer At Gaglow,Esther Freud
1998,Longlist,Man Or Mango?,Lucy Ellmann
1998,Longlist,Bitter Grounds,Sandra Benítez
1997,Shortlist,Hen’s Teeth,Manda Scott
1997,Shortlist,One By One In The Darkness,Deirdre Madden
1997,Shortlist,Accordion Crimes,Annie Proulx
1997,Shortlist,I Was Amelia Earhart,Jane Mendelsohn
1997,Shortlist,Alias Grace,
1997,Winner,Fugitive Pieces,Anne Michaels
1997,Longlist,Red Leaves,Paullina Simons
1997,Longlist,All The Blood Is Red,Leone Ross
1997,Longlist,The Cast Iron Shore,Linda Grant
1997,Longlist,Frequency Of Souls,Mary Kay Zuravleff
1997,Longlist,Gut Symmetries,Jeanette Winterson
1997,Longlist,Anita And Me,Meera Syal
1997,Longlist,Fall On Your Knees,Ann-Marie MacDonald
1997,Longlist,With Child,Laurie R King
1997,Longlist,The Autobiography Of My Mother,Jamaica Kincaid
1997,Longlist,The Enchantment Of Lily Dahl,Siri Hustvedt
1997,Longlist,The Last Thing He Wanted,Joan Didion
1997,Longlist,Death Comes For Peter Pan,Joan Brady
1997,Longlist,The Mistress Of Spices,Chitra Divakaruni
1997,Longlist,Every Man For Himself,Beryl Bainbridge
1996,Shortlist,Eveless Eden,Marianne Wiggins
1996,Shortlist,Ladder Of Years,Anne Tyler
1996,Shortlist,The Hundred Secret Senses,
1996,Shortlist,Spinsters,Pagan Kennedy
1996,Shortlist,The Book Of Color,Julia Blackburn
1996,Longlist,The Love Letter,Cathleen Schine
1996,Longlist,Mother Of Pearl,Mary Morrissy
1996,Longlist,River Lines,Elspeth Sandys
1996,Longlist,Promised Lands,Jane Rogers
1996,Longlist,Never Far From Nowhere,Andrea Levy
1996,Longlist,So I Am Glad,
1996,Longlist,Egg Dancing,Liz Jensen
1996,Longlist,The Passion Of Alice,Stephanie Grant
1996,Longlist,The Private Parts Of Women,Lesley Glaister
1996,Longlist,The Blue Flower,Penelope Fitzgerald
1996,Longlist,Keeping Up With Magda,Isla Dewar
1996,Longlist,The Rape Of Sita,Lindsey Collen
1996,Longlist,Official And Doubtful,Ajay Close
1996,Longlist,The Ghost Road,Pat Barker
